"Player","Team","Pos","Opp","Tipoff","Salary","Projection","SE","DvP","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Anthony Davis","NOR","PF","MEM","Tue 8:00PM",10900,46.61,3.64,40.6,53.2,46.8,48.7,47.37,43.8,43.53,42.88,"A. Davis",17.05,30.32,64.42,208.5,-135,-2,""
"Giannis Antetokounmpo
                                 GTD",NA,NA,NA,NA,NA,44.1,0,NA,NA,NA,NA,NA,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giannis Antetokounmpo","MIL","SG","@POR","Tue 10:00PM",10000,43.68,3.06,39.8,48.3,41.3,45,45.51,NA,40.58,41.41,"G. Antetokounmpo",15.93,29.58,61.44,212,170,5,""
"DeMarcus Cousins","NOR","C","MEM","Tue 8:00PM",8800,43.62,2.68,39.3,47.9,39.5,45.7,43.84,42.1,43.7,42.61,"D. Cousins",12.71,31.13,56.55,208.5,-135,-2,""
"Karl-Anthony Towns","MIN","C","SAS","Tue 9:30PM",10400,43.43,1.57,41.2,41.6,NA,42.7,44.65,41.9,44.36,45.35,"K. Towns",14.29,30.36,58.94,205.5,180,5,""
"Kawhi Leonard","SAS","SF","@MIN","Tue 9:30PM",9400,41.36,2.35,40.1,44.2,NA,41.8,43.23,37.5,41.07,40.38,"K. Leonard",18.59,24.64,61.82,205.5,-210,-5,"3in4"
"Hassan Whiteside","MIA","C","PHO","Tue 7:30PM",8700,40.93,2.54,49.1,43.4,NA,36.8,41.47,43,41.9,39.03,"H. Whiteside",14.1,27.37,55.57,214,-1000,-12.5,""
"Damian Lillard","POR","PG","MIL","Tue 10:00PM",9000,40.11,1.53,44.5,42.9,40.5,39.6,38.67,39.7,40.97,38.44,"D. Lillard",16.24,22.43,54.91,212,-195,-5,"3in4"
"Blake Griffin","LAC","PF","@LAL","Tue 10:30PM",9300,39.99,1.58,49.2,41.1,39.5,39.3,40.01,41.8,41.12,37.09,"B. Griffin",12.4,27.61,52.41,219.5,-435,-9,"3in4-B2B"
"Stephen Curry","GSW","PG","@DAL","Tue 8:30PM",9900,39.82,1.91,43.4,41.4,NA,41,39.61,37.3,41.8,37.8,"S. Curry",13.07,26.54,52.68,207,-205,-5,"3in4-B2B"
"Jimmy Butler","CHI","SF","@TOR","Tue 7:00PM",8900,39.64,1.47,39.8,38.9,39,40.4,42.15,37.8,38.69,40.54,"J. Butler",13.07,29.08,55.22,200,230,6.5,""
"Chris Paul","LAC","PG","@LAL","Tue 10:30PM",9000,39.56,2.73,51.5,41.2,37.3,39.7,39.75,43.3,40.76,34.93,"C. Paul",12.32,27.43,52.07,219.5,-435,-9,"3in4-B2B"
"Andre Drummond","DET","C","@BKN","Tue 7:30PM",7800,37.65,2.43,49.9,38.3,34.5,36.7,38.04,42.2,37.96,35.83,"A. Drummond",12.93,25.11,50.97,214,-225,-5.5,""
"DeMar DeRozan","TOR","SG","CHI","Tue 7:00PM",8600,37.3,2.56,39.2,40.5,36,38.2,38.67,33.4,39.33,34.98,"D. DeRozan",13.15,25.52,51.82,200,-275,-6.5,""
"Marc Gasol","MEM","C","@NOR","Tue 8:00PM",7900,36.95,1.39,48.4,38.6,35,37.3,35.25,38.3,36.84,37.37,"M. Gasol",13.04,22.21,48.29,208.5,115,2,""
